    true
test    0    1
   0 4655    2
   1    7  794

rf_voter$importance
                        0             1 MeanDecreaseAccuracy MeanDecreaseGini
phi_l_ed     4.803031e-03  4.721095e-02         1.100821e-02       407.873908
phi_l_jw     4.180243e-03  2.316446e-02         6.961201e-03       339.950438
phi_l_dm1    1.751271e-03  1.794990e-02         4.140247e-03       220.543527
phi_l_dm2    2.097058e-03  2.329583e-02         5.219658e-03       165.204949
phi_f_ed     2.239741e-03  4.577187e-02         8.618190e-03        64.299199
phi_f_jw     4.005734e-03  7.739111e-02         1.489260e-02        99.217386
phi_f_dm1    8.634105e-04  4.348375e-02         7.120640e-03        51.845439
phi_f_dm2    8.506079e-04  4.541848e-02         7.402214e-03        56.629384
phi_m_ed     6.246058e-04  1.380177e-02         2.590888e-03       718.985901
phi_m_jw     1.239930e-03  4.272065e-02         7.367881e-03       885.018401
phi_m_dm1    1.690035e-03  1.320646e-03         1.633664e-03       452.348949
phi_m_dm2    8.767452e-04  4.889162e-03         1.469068e-03       476.986667
phi_addr     1.591448e-02  7.765427e-03         1.471940e-02       110.780099
phi_age      2.582047e-03  3.865865e-01         5.908736e-02       545.908122
phi_res_city 1.334108e-02  4.500787e-01         7.750921e-02       730.583710
phi_race     1.244404e-05  7.293729e-03         1.084571e-03         3.498193
phi_ethnic   3.681904e-04  1.808649e-02         2.961042e-03        30.711889
phi_party    6.435258e-05 -1.391159e-05         5.295673e-05         5.107709
phi_gender   1.131172e-04  1.119171e-02         1.738096e-03         4.322214
phi_birth_st 4.467388e-05  5.440516e-02         8.015964e-03        53.342829



