"","Indice","response","phi_l_ed","phi_l_jw","phi_l_dm1","phi_l_dm2","phi_f_ed","phi_f_jw","phi_f_dm1","phi_f_dm2","phi_m_ed","phi_m_jw","phi_m_dm1","phi_m_dm2","phi_addr","phi_age","phi_res_city","phi_race","phi_ethnic","phi_party","phi_gender","phi_birth_st"
"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"2",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"3",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"4",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"5",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"6",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"7",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"8",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"9",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"10",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"11",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"12",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"13",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"14",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"15",15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"16",16,1,0,0,0,0,0,0,0,0,4,0.24,1,1,0,1,1,1,1,0,1,1
"17",17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"18",18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
